diagnosis,count,percentage,global,irrelevant,local
sinus bradycardia. consider 2:1 sino-atrial block.,5,0.0,1,0,0
no further analysis made - doubt as to suitable beat(s). dominant group printed.,5,0.0,0,1,0
changes v2-v4 are probably related to poor r wave progression but anteroseptal infarction cannot be excluded,5,0.0,1,0,1
lateral st elevation may be a normal variant for age,5,0.0,0,0,1
ant/septal+lateral t wave changes are nonspecific,5,0.0,0,0,1
sinus bradycardia with frequent pvcs with borderline 1st degree a-v block.,5,0.0,1,0,1
strongly suggests pericarditis,5,0.0,1,0,0
ant/septal and lateral st changes may be due to myocardial ischemia,5,0.0,1,0,1
- demand ventricular pacing and ineffective stimuli,5,0.0,1,0,1
possible ectopic atrial rhythm with pvcs with pacs.,5,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia,5,0.0,1,0,0
abnormal q suggests inferior infarct,5,0.0,1,0,1
qrs changes probably due to lvh but consider anteroseptal infarct,5,0.0,1,0,1
sinus rhythm with multifocal pvcs with pac(s) with 1st degree a-v block,5,0.0,1,0,1
short qtc : possible hypercalcemia,5,0.0,1,0,1
inferior/lateral st changes may be normal for age,5,0.0,0,0,1
septal t wave changes are borderline abnormal for age/sex,5,0.0,1,0,1
sinus rhythm with frequent pacs with borderline 1st degree a-v block.,5,0.0,1,0,1
baseline wander in lead(s) v1,5,0.0,0,1,0
st junctional depression are nonspecific,5,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block.,5,0.0,1,0,0
inferior t wave changes are possibly secondary to hypertension,5,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avl avf v5 v6,5,0.0,0,1,0
lead(s) unsuitable for analysis: i v3 v4,5,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with pvcs with 1st degree a-v block.,5,0.0,1,0,1
lateral t wave changes are borderline abnormal for age/sex,5,0.0,1,0,1
anteroseptal infarction - possibly acute,5,0.0,1,0,0
*** extensive infarct *** with possible acute inferior and anteroseptal changes,5,0.0,1,0,1
sinus bradycardia with occasional pacs,5,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with pvcs.,5,0.0,1,0,1
sinus bradycardia with frequent multifocal pvcs.,5,0.0,1,0,1
ant/septal+lateral st-t changes,5,0.0,0,0,1
possible ectopic atrial bradycardia with aberrantly conducted supraventricular complexes,5,0.0,1,0,1
these changes are unusual for a male of this age but could be a normal variant,5,0.0,1,0,0
missing lead(s): v2,5,0.0,0,1,0
lateral t wave changes are consistent with myocardial ischemia,5,0.0,1,0,1
baseline wander in lead(s) v3,5,0.0,0,1,0
inferior t wave changes may be related to electronic pacemaker,5,0.0,1,0,1
probable extensive infarction - age undetermined,5,0.0,1,0,0
? faulty v2 - omitted from analysis,5,0.0,0,1,0
lead(s) unsuitable for analysis: v5.,5,0.0,0,1,0
lead(s) unsuitable for analysis: ii v6,5,0.0,0,1,0
inferior + ant/septal t wave change,5,0.0,0,0,1
low r + q in anterolateral leads,5,0.0,0,0,1
sinus rhythm with frequent pvcs with pacs.,5,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with pac(s) with borderline 1st degree a-v block,5,0.0,1,0,1
lead(s) unsuitable for analysis: i avr avl avf v1 v2 v3 v4 v5 v6,5,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v3,5,0.0,0,1,0
interpolated pvc(s),5,0.0,1,0,1
multifocal pvcs,5,0.0,1,0,1
septal t wave changes are abnormal for age/sex,5,0.0,1,0,1
inferior and lateral st elevation may be a normal variant for age,5,0.0,0,0,1
lead(s) iii were not used for morphology analysis,5,0.0,0,1,0
sinus arrhythmia with non-sustained ventricular tachycardia.,5,0.0,1,0,0
sinus tachycardia with pvc(s) with 1st degree a-v block,5,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pvcs with 1st degree a-v block,5,0.0,1,0,1
atrial flutter with rapid ventricular response with frequent pvcs or aberrant ventricular conduction.,5,0.0,1,0,1
probable extensive infarct with acute inferior + lateral changes,5,0.0,1,0,1
probable extensive infarct with acute inferior changes,5,0.0,1,0,1
possible ectopic atrial tachycardia with pvcs with pacs,5,0.0,1,0,1
lateral t wave changes are borderline,5,0.0,1,0,1
anterolateral t wave changes suggest myocardial infarction,5,0.0,1,0,1
atrial flutter with multifocal pvcs,5,0.0,1,0,1
lead(s) unsuitable for analysis: ii v1 v2,5,0.0,0,1,0
atrial flutter with pvcs,5,0.0,1,0,1
sinus tachycardia with interpolated pvc(s),5,0.0,1,0,1
probable atrial fibrillation with fusion complexes,5,0.0,1,0,1
sinus arrhythmia with aberrantly conducted supraventricular complexes with pvc(s).,5,0.0,1,0,1
atrial flutter with rapid ventricular response with 4:1 a-v block,5,0.0,1,0,0
bvh with secondary st-t changes,5,0.0,1,0,1
inferior and anterior t wave changes suggest myocardial infarct,5,0.0,1,0,1
probable sinus tachycardia with pvc(s),5,0.0,1,0,1
left ventricular hypertrophy with st-t changes probably due in part to myocardial ischemia,5,0.0,1,0,1
possible ectopic atrial tachycardia with pvcs.,5,0.0,1,0,1
sinus rhythm with undetermined irregularity,5,0.0,1,0,0
sinus bradycardia with sinus arrhythmia with frequent multifocal pvcs,5,0.0,1,0,1
inferior st-t changes are borderline abnormal for age/sex,5,0.0,1,0,1
lead(s) unsuitable for analysis: avf v6,5,0.0,0,1,0
lead(s) unsuitable for analysis: iii avr avl avf,5,0.0,0,1,0
anteroseptal infarct - possibly acute,5,0.0,1,0,0
sinus tachycardia with interpolated pvc(s).,5,0.0,1,0,1
irregular ectopic atrial rhythm with interpolated pvcs,5,0.0,1,0,1
frequent pacs,5,0.0,1,0,1
anterior t wave changes are a normal juvenile pattern,5,0.0,0,0,1
sinus rhythm with 3:1 a-v block,5,0.0,1,0,0
atrial flutter with bigeminal pvcs or aberrant ventricular conduction,5,0.0,1,0,1
atrial fibrillation with slow ventricular response with frequent multifocal pvcs or aberrant ventricular conduction.,5,0.0,1,0,1
possible ectopic atrial bradycardia with frequent pvcs,5,0.0,1,0,1
atrial fibrillation with slow ventricular response with intermittent conduction defect,5,0.0,1,0,0
inferior + septal t wave changes may be due to myocardial ischemia,5,0.0,1,0,1
*** extensive infarct *** with possible acute inferior changes,5,0.0,1,0,1
probable atrial fibrillation with uncontrolled ventricular response with pvc(s),5,0.0,1,0,1
sinus tachycardia with paroxysmal idioventricular rhythm.,5,0.0,1,0,0
lead(s) unsuitable for analysis: v1.,5,0.0,0,1,0
"sequence error: v4,v5 omitted",5,0.0,0,1,0
multifocal pvcs or aberrant ventricular conduction,5,0.0,1,0,1
anterolateral infarction - possibly acute,5,0.0,1,0,0
lead(s) unsuitable for analysis: ii iii avr avl avf v2 v3 v4 v5 v6,5,0.0,0,1,0
sinus tachycardia with pac(s) with 1st degree a-v block,5,0.0,1,0,1
inferior and septal st-t changes are borderline abnormal,5,0.0,1,0,1
tall t waves suggest hyperkalemia,5,0.0,1,0,1
atrial flutter with rapid ventricular response with multifocal pvcs or aberrant ventricular conduction.,5,0.0,1,0,1
anteroseptal st changes suggest myocardial infarct,5,0.0,1,0,1
septal st changes are probably due to ventricular hypertrophy,5,0.0,1,0,1
anteroseptal st-t changes are borderline abnormal,5,0.0,1,0,1
recent anterolateral infarct,5,0.0,1,0,0
lead(s) unsuitable for analysis: ii avr avf,5,0.0,0,1,0
missing lead(s): v5,5,0.0,0,1,0
"extensive st elevation, consider recent infarction",5,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with pvc(s),5,0.0,1,0,1
extensive infarct with acute inferior + anteroseptal changes,5,0.0,1,0,1
atrial flutter with interpolated pvcs.,4,0.0,1,0,1
inferior and ant/septal st changes are nonspecific,4,0.0,0,0,1
inferior st-t changes suggest myocardial infarction,4,0.0,1,0,1
possible atrial flutter with rapid ventricular response with bigeminal pvcs or aberrant ventricular conduction,4,0.0,1,0,1
sinus bradycardia with pvcs with pacs with 1st degree a-v block.,4,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v3 v4 v5,4,0.0,0,1,0
possible ectopic atrial rhythm with intermittent conduction defect,4,0.0,1,0,0
irregular ectopic atrial tachycardia with pac(s),4,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with interpolated pvcs,4,0.0,1,0,1
sinus rhythm with interpolated pvcs with 1st degree a-v block,4,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v6,4,0.0,0,1,0
bvh with st-t changes,4,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avl avf v5,4,0.0,0,1,0
lead(s) unsuitable for analysis: iii avf v1 v2 v3 v4 v5 v6,4,0.0,0,1,0
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs with pacs.,4,0.0,1,0,1
"long qtc : possible hypocalcemia, t-u or t-p fusion",4,0.0,1,0,1
inferior + ant/septal st-t changes,4,0.0,0,0,1
consider acute septal infarct,4,0.0,1,0,0
possible ectopic atrial bradycardia with interpolated pvcs,4,0.0,1,0,1
irregular ectopic atrial tachycardia with pvc(s),4,0.0,1,0,1
sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block,4,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pvc(s) with 1st degree a-v block,4,0.0,1,0,1
extensive st-t changes suggest myocardial ischemia,4,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pvc(s) with 1st degree a-v block.,4,0.0,1,0,1
irregular ectopic atrial bradycardia with pac(s),4,0.0,1,0,1
"minimal st elevation, inferior leads",4,0.0,0,0,1
ant/septal + lateral st changes,4,0.0,0,0,1
lateral t wave changes are possibly secondary to hypertension,4,0.0,1,0,1
possible atrial flutter with slow ventricular response with pvc(s) or aberrant ventricular conduction,4,0.0,1,0,1
possible ectopic atrial rhythm with pvcs with occasional pacs,4,0.0,1,0,1
ant/septal and lateral st changes may be due to hypertrophy and/or ischemia,4,0.0,1,0,1
inferior and lateral st changes,4,0.0,0,0,1
inferior/lateral t wave changes may be due to myocardial infarct or cva,4,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avf v2 v3 v4 v5 v6,4,0.0,0,1,0
pediatric criteria used,4,0.0,0,1,0
atrial flutter with uncontrolled ventricular response with pvcs or aberrant ventricular conduction.,4,0.0,1,0,1
sinus bradycardia with multifocal interpolated pvcs.,4,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block.,4,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pac(s) with borderline 1st degree a-v block,4,0.0,1,0,1
anterior st-t changes suggest myocardial infarct,4,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvc(s) with borderline 1st degree a-v block,4,0.0,1,0,1
septal st changes are borderline abnormal,4,0.0,1,0,1
sinus arrhythmia with multifocal interpolated pvcs.,4,0.0,1,0,1
anteroseptal st-t changes are abnormal,4,0.0,1,0,1
"posterior infarct, recent",4,0.0,1,0,0
early repolarization,4,0.0,1,0,0
accerated idioventricular rhythm,4,0.0,1,0,0
sinus bradycardia with interpolated pvcs with 1st degree a-v block,4,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pacs with 1st degree a-v block,4,0.0,1,0,1
inferior + septal st elevation - repeat if myocardial injury is suspected,4,0.0,1,0,1
borderline right axis deviation,4,0.0,1,0,0
lead(s) unsuitable for analysis: i v1,4,0.0,0,1,0
lead(s) unsuitable for analysis: i avl v5 v6,4,0.0,0,1,0
changes are unusual for a male of this age but consider normal variant,4,0.0,1,0,0
probable atrial fibrillation with paroxysmal idioventricular rhythm,4,0.0,1,0,0
sinus tachycardia with occasional pacs,4,0.0,1,0,1
sinus tachycardia with frequent pacs with borderline 1st degree a-v block.,4,0.0,1,0,1
extensive t wave changes may be due to myocardial infarct or cva,4,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v4,4,0.0,0,1,0
possible ectopic atrial rhythm with paroxysmal idioventricular rhythm,4,0.0,1,0,0
tall r or r/s>1 in v1,4,0.0,0,0,1
possible ectopic atrial tachycardia with pvc(s) with pac(s).,4,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl v5,4,0.0,0,1,0
"prolonged qt, probably secondary to wide qrs",4,0.0,0,0,1
atrial flutter with interpolated pvc(s),4,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl avf v1,4,0.0,0,1,0
inferior st changes may be due to myocardial ischemia,4,0.0,1,0,1
possible atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,4,0.0,1,0,1
lead(s) unsuitable for analysis: v2 v3 v4 v5,4,0.0,0,1,0
inferior and septal t wave changes may be due to hypertrophy and/or ischemia,4,0.0,1,0,1
inferior st changes are probably due to ventricular hypertrophy,4,0.0,1,0,1
inferior + septal st-t changes may be due to myocardial ischemia,4,0.0,1,0,1
irregular ectopic atrial rhythm with frequent pvcs,4,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v3 v4 v5 v6,4,0.0,0,1,0
sinus bradycardia with intermittent conduction defect,4,0.0,1,0,0
possible ectopic atrial tachycardia with frequent pvcs.,4,0.0,1,0,1
frequent multiform pvcs or aberrant ventricular conduction,4,0.0,1,0,1
probable accelerated junctional rhythm with pvcs.,4,0.0,1,0,1
wenckebach (mobitz i) 2nd deg a-v block,4,0.0,1,0,0
atypical q wave in septal lead,4,0.0,0,0,1
lead(s) unsuitable for analysis: ii avf v4 v5 v6,4,0.0,0,1,0
sinus bradycardia with multifocal pvcs with pac(s),4,0.0,1,0,1
atrial fibrillation with slow ventricular response with intermittent conduction defect.,4,0.0,1,0,0
ant/septal and lateral st-t changes suggest myocardial ischemia,4,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,4,0.0,1,0,1
possible atrial flutter with slow ventricular response with pvc(s).,4,0.0,1,0,1
sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree a-v block.,4,0.0,1,0,1
sinus bradycardia with frequent pvcs with borderline 1st degree a-v block,4,0.0,1,0,1
possible ectopic atrial rhythm with intermittent conduction defect.,4,0.0,1,0,0
anterolateral st-t changes are borderline,4,0.0,1,0,1
possible old septal infarction,4,0.0,1,0,0
lead(s) unsuitable for analysis: avr v5 v6,4,0.0,0,1,0
inferior + anterior st-t change are abnormal for age/sex,4,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvc(s) with 1st degree a-v block,4,0.0,1,0,1
bigeminal premature ventricular contractions,4,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl v1 v2 v3 v4,4,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,4,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pvcs with 1st degree a-v block.,4,0.0,1,0,1
inferior and ant/septal t wave changes may be due to myocardial infarct or cva,4,0.0,1,0,1
lead(s) unsuitable for analysis: i avl v6,4,0.0,0,1,0
atypical q in anteroseptal leads,4,0.0,0,0,1
atrial flutter with 2:1 a-v block with pvc(s) or aberrant ventricular conduction.,4,0.0,1,0,1
extensive infarct with acute inferior + lateral changes,4,0.0,1,0,1
sinus rhythm with non-sustained ventricular tachycardia,4,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with pac(s),4,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl v1 v2 v3 v4,4,0.0,0,1,0
atrial fibrillation with rapid ventricular response with fusion complexes,4,0.0,1,0,1
possible ectopic atrial rhythm with interpolated pvcs.,4,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with pvcs,4,0.0,1,0,1
ant r decrease+q in lateral lead,4,0.0,0,0,1
inferior/lateral t changes may be related to electronic pacemaker,4,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal pvcs.,4,0.0,1,0,1
lead(s) unsuitable for analysis: ii v4 v5 v6,4,0.0,0,1,0
lead(s) unsuitable for analysis: v3.,4,0.0,0,1,0
extensive t wave changes are borderline,4,0.0,1,0,1
sinus bradycardia with occasional pacs with 1st degree a-v block.,4,0.0,1,0,1
possible ectopic atrial rhythm with occasional pacs,4,0.0,1,0,1
borderline repolarization abnormality,4,0.0,1,0,1
high precordial voltages,4,0.0,0,0,1
septal t wave changes are a normal juvenile pattern,4,0.0,0,0,1
frequent pvcs or aberrant ventricular conduction,4,0.0,1,0,1
possible rvh with repolarization abnormality,4,0.0,1,0,1
acute septal infarct,4,0.0,1,0,0
anteroseptal t wave changes may be due to myocardial infarct or cva,4,0.0,1,0,1
anterior infarction - possibly acute,4,0.0,1,0,0
"partial missing lead(s): v4,v5",4,0.0,0,1,0
"s i,ii,iii syndrome",4,0.0,1,0,0
acute extensive infarction,4,0.0,1,0,0
inferior and anterior st elevation - cannot rule out myocardial injury,4,0.0,1,0,1
"probable lateral infarct, recent",4,0.0,1,0,0
sinus bradycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block with borderline 1st degree a-v block,4,0.0,1,0,0
possible ectopic atrial rhythm with multifocal pvcs with pac(s),4,0.0,1,0,1
inferior and ant/septal st elevation suggests early repolarization,4,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pacs with borderline 1st degree a-v block,4,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avr avl avf v1,4,0.0,0,1,0
lead(s) unsuitable for analysis: i avr avl,4,0.0,0,1,0
inferior and anterior t wave changes are borderline,4,0.0,1,0,1
"v1,v2 suggest posterior extension",3,0.0,0,0,1
consider recent infarction,3,0.0,1,0,0
possible ectopic atrial tachycardia with frequent pacs,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avf v2 v3 v4 v5 v6,3,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v2 v3 v5 v6,3,0.0,0,1,0
inferior+ant/septal st-t changes,3,0.0,0,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs with 1st degree a-v block.,3,0.0,1,0,1
delta wave v5/v6 + tall r in v5,3,0.0,0,0,1
sinus tachycardia with frequent pacs with borderline 1st degree a-v block,3,0.0,1,0,1
extensive st-t changes may be secondary to hypertension/ischemia,3,0.0,1,0,1
extensive t wave changes are abnormal for age/sex,3,0.0,1,0,1
suggests dextrocardia: repeat with reversed leads. no further analysis.,3,0.0,1,0,0
sinus tachycardia with frequent pvcs with borderline 1st degree a-v block.,3,0.0,1,0,1
appearances suggest dextrocardia: repeat with reversed leads. no further analysis.,3,0.0,1,1,0
inferior/lateral t wave changes are consistent with myocardial ischemia,3,0.0,1,0,1
inferior/lateral st-t changes may be due to myocardial infarction or cva,3,0.0,1,0,1
bvh with repolarization abnormality,3,0.0,1,0,1
probable recent septal infarct,3,0.0,1,0,0
within normal limits for age,3,0.0,1,0,0
sinus bradycardia with pvcs with pacs with borderline 1st degree a-v block,3,0.0,1,0,1
probable atrial fibrillation with slow ventricular response with pvcs.,3,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,3,0.0,1,0,1
consider recent lateral infarction,3,0.0,1,0,0
inferior/lateral t changes may be due to myocardial infarction or cva,3,0.0,1,0,1
inferior and lateral st elevation - probable post operative pericarditis,3,0.0,1,0,1
consider acute septal infarction,3,0.0,1,0,0
repolarization abnormality suggests lvh,3,0.0,1,0,1
"missing lead(s): i,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6",3,0.0,0,1,0
lead(s) unsuitable for analysis: avr v2,3,0.0,0,1,0
anterolateral infarct - possibly acute,3,0.0,1,0,0
abnormally high qrs voltages,3,0.0,0,0,1
"missing lead(s): v5,v6",3,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v2,3,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with multifocal pvcs with 1st degree a-v block,3,0.0,1,0,1
lead(s) unsuitable for analysis: i ii avr avf v1 v2 v3 v4 v5 v6,3,0.0,0,1,0
anterolateral st-t changes are probably due to cardiac surgery,3,0.0,0,0,1
lead(s) unsuitable for analysis: iii avl avf v2 v3,3,0.0,0,1,0
inferior + anterior t wave change are abnormal for age/sex,3,0.0,1,0,1
possible posterior extension of infarct,3,0.0,1,0,0
"missing lead(s): v1,v2,v3,v4,v5,v6",3,0.0,0,1,0
changes possibly due to infarct or cva,3,0.0,1,0,0
sinus arrhythmia with aberrantly conducted supraventricular complexes with pvcs,3,0.0,1,0,1
"sinus bradycardia with sinus arrhythmia with 2nd degree a-v block, mobitz ii.",3,0.0,1,0,0
lvh by voltage,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avf v4 v5 v6,3,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with pvcs.,3,0.0,1,0,1
atrial flutter with variable a-v block,3,0.0,1,0,0
sinus rhythm with multifocal pvcs with pacs with borderline 1st degree a-v block.,3,0.0,1,0,1
possible ectopic atrial rhythm with multifocal interpolated pvcs,3,0.0,1,0,1
sinus tachycardia with pvcs with occasional pacs.,3,0.0,1,0,1
sinus rhythm with multifocal interpolated pvcs with borderline 1st degree a-v block,3,0.0,1,0,1
atrial fibrillation with slow ventricular response with fusion complexes,3,0.0,1,0,1
sinus arrhythmia with interpolated pvc(s) with borderline 1st degree a-v block,3,0.0,1,0,1
st changes in the anterior leads,3,0.0,0,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with pvc(s),3,0.0,1,0,1
sinus tachycardia with non-sustained ventricular tachycardia with pac(s),3,0.0,1,0,1
possible atrial flutter with slow ventricular response with pvcs.,3,0.0,1,0,1
wpw pattern type b,3,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avl avf v1 v2 v3 v4 v5 v6,3,0.0,0,1,0
possible atrial flutter with rapid ventricular response with frequent pvcs,3,0.0,1,0,1
sinus arrhythmia with paroxysmal idioventricular rhythm.,3,0.0,1,0,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v2 v3 v5 v6,3,0.0,0,1,0
inferior+ant/septal st elevation - repeat if myocardial injury is suspected,3,0.0,1,0,1
lead(s) unsuitable for analysis: v2 v4 v5 v6,3,0.0,0,1,0
septal t wave changes are consistent with myocardial ischemia,3,0.0,1,0,1
sinus rhythm with interpolated pvcs with pacs,3,0.0,1,0,1
inferior and ant/septal st changes suggest myocardial injury/ischemia,3,0.0,1,0,1
demand pacing; interpretation is based on unpaced beats with 1st degree a-v block,3,0.0,1,0,1
sinus bradycardia with paroxysmal idioventricular rhythm,3,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs with pac(s),3,0.0,1,0,1
probable accelerated junctional rhythm with pvcs,3,0.0,1,0,1
sinus rhythm with fusion complexes with pac(s),3,0.0,1,0,1
probable atrial fibrillation with non-sustained ventricular tachycardia.,3,0.0,1,0,0
sinus bradycardia with sinus arrhythmia with frequent pvcs.,3,0.0,1,0,1
sinus rhythm with paroxysmal idioventricular rhythm with borderline 1st degree a-v block.,3,0.0,1,0,0
sinus rhythm with aberrantly conducted supraventricular complexes with pacs.,3,0.0,1,0,1
extensive infarct with acute anteroseptal changes,3,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with frequent pvcs or aberrant ventricular conduction,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v4 v5 v6,3,0.0,0,1,0
- sino-atrial 2nd degree mobitz ii block,3,0.0,1,0,0
anteroseptal t wave changes are abnormal for age/sex,3,0.0,0,0,1
limb leads reversed. the report below takes this into account,3,0.0,0,1,0
paroxysmal idioventricular rhythm or aberrant ventricular conduction,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v3 v4 v5 v6,3,0.0,0,1,0
sinus rhythm with intermittent conduction defect with borderline 1st degree a-v block,3,0.0,1,0,0
sinus bradycardia with pvcs with occasional pacs.,3,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v2 v3 v4 v5,3,0.0,0,1,0
lead(s) unsuitable for analysis: avl v3,3,0.0,0,1,0
lead(s) unsuitable for analysis: v6.,3,0.0,0,1,0
probable atrial fibrillation with slow ventricular response with pvcs or aberrant ventricular conduction,3,0.0,1,0,1
lead(s) unsuitable for analysis: iii avf v3,3,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v1 v2 v3 v4 v5 v6,3,0.0,0,1,0
lead(s) unsuitable for analysis: i iii avl avf v6,3,0.0,0,1,0
"possible ectopic atrial rhythm with 2nd degree a-v block, mobitz i (wenckebach)",3,0.0,1,0,0
may be normal variant if no clinical abnormality found,3,0.0,1,0,0
possible ectopic atrial rhythm with 2nd degree (mobitz ii) sa block.,3,0.0,1,0,0
anterolateral st-t changes suggest myocardial ischemia,3,0.0,1,0,1
anterior t wave changes may be due to myocardial infarct or cva,3,0.0,1,0,1
anterolateral st-t changes may be due to myocardial infarct or cva,3,0.0,1,0,1
st-t changes in anterior leads,3,0.0,0,0,1
irregular ectopic atrial tachycardia with pacs,3,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl v1 v2 v3 v4 v5,3,0.0,0,1,0
sinus bradycardia with pvcs with pacs with borderline 1st degree a-v block.,3,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with multifocal pvcs,3,0.0,1,0,1
sinus bradycardia. consider sinus rhythm with 2:1 sino-atrial block.,3,0.0,1,0,0
sinus tachycardia with interpolated pvcs.,3,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with multifocal pvcs or aberrant ventricular conduction.,3,0.0,1,0,1
sinus bradycardia with pvcs with pacs with 1st degree a-v block,3,0.0,1,0,1
sinus rhythm with frequent pvcs with pac(s) with borderline 1st degree a-v block,3,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pvc(s) with borderline 1st degree a-v block.,3,0.0,1,0,1
probable atrial fibrillation with intermittent conduction defect,3,0.0,1,0,0
sinus arrhythmia with intermittent conduction defect,3,0.0,1,0,0
sinus tachycardia with sinus arrhythmia with 1st degree a-v block,3,0.0,1,0,0
inferior/lateral st-t changes suggest myocardial infarction,3,0.0,1,0,1
possible atrial flutter with interpolated pvcs,3,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with interpolated pvcs.,3,0.0,1,0,1
possible atrial flutter with frequent multifocal pvcs,3,0.0,1,0,1
sinus bradycardia with interpolated pvcs with 1st degree a-v block.,3,0.0,1,0,1
atrial flutter with rapid ventricular response with 4:1 a-v block.,3,0.0,1,0,0
sinus tachycardia with pvc(s) with 1st degree a-v block.,3,0.0,1,0,1
irregular ectopic atrial rhythm with interpolated pvc(s).,3,0.0,1,0,1
summary: none available,3,0.0,0,1,0
extensive infarction - probably acute,3,0.0,1,0,0
anteroseptal st changes are probably due to ventricular hypertrophy,3,0.0,1,0,1
septal st-t changes are borderline,3,0.0,1,0,1
lead(s) unsuitable for analysis: i ii avr avf,3,0.0,0,1,0
inferior/lateral st-t changes are consistent with myocardial ischemia,3,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pac(s) with borderline 1st degree a-v block.,3,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl avf v3,3,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block with 1st degree a-v block.,3,0.0,1,0,0
sinus rhythm with paroxysmal idioventricular rhythm with 1st degree a-v block.,3,0.0,1,0,0
"probable anterior infarct, recent",3,0.0,1,0,0
septal st-t changes are borderline abnormal for age/sex,3,0.0,1,0,1
sinus tachycardia with multifocal pvcs with borderline 1st degree a-v block.,3,0.0,1,0,1
lead(s) unsuitable for analysis: i v5 v6,3,0.0,0,1,0
**** possible measurement error - check data ****,3,0.0,0,1,0
lead(s) unsuitable for analysis: i v1 v2,3,0.0,0,1,0
possible atrial flutter with frequent pvcs,3,0.0,1,0,1
